SF,Finantial resources (Rs),Placement & Higher studies,Publications,1
23.17,4140.35,385,14307,0.993670382
14.92,6300.09,1093,9797,0.999814006
17.07,3357.88,1171,11045,1
13.33,2500.93,950,9832,1
16.24,3577.49,1792,11199,1
12.89,3988.56,686,3748,0.533235948
14.35,3541.78,726,7446,0.797581771
18.54,2661.85,1702,7563,0.824258591
29.93,8120.05,3462,8542,0.741532374
26.34,3805.81,1857,10745,0.821703917
12.72,1415.49,270,4476,0.732605675
13.01,3688.7,652,5502,0.587137544
23.11,1726.82,2453,8376,1
25.43,6468.57,1399,9544,0.536738322
21.07,3769.5,737,3314,0.336302239
23.32,6047.7,1065,4847,0.379584748
19.44,12503.48,2343,5088,0.967964273
18.49,3291.73,1825,2709,0.638712217
33.16,2385.25,1670,5940,0.526829831
103.57,4541.88,378,2360,0.115553151
27.84,5548.32,4587,9084,1
20.15,3715.29,1866,3568,0.771091088
24.87,1762.5,760,3140,0.414781708
9.5,836.22,283,2593,0.76657292
20.57,1082.69,286,2270,0.489826123
23.37,1410.02,1077,2971,0.564056371
24.32,4879.32,1232,5270,0.39787663
11.03,1442.32,535,366,0.559548477
30.03,1584.02,1580,1983,0.59138338
21.01,1359,1245,3623,0.680284414
18.05,1002.24,491,2645,0.667655743
24.84,3112.32,2188,2430,0.677868763
16.46,1267.92,250,2124,0.42748158
18.89,1472.54,644,1070,0.323791499
20.95,2175.13,1827,1885,0.727972981
14.01,849.7,915,477,0.669269639
19.23,1283.91,1128,3116,0.658211069
9.26,1902.03,642,1301,0.5682851
22.05,1081.8,936,2107,0.569476927
6.18,4166.36,282,1649,0.625544552
21.96,2030.83,309,1464,0.228272719
26.38,1005.67,1628,1630,0.994940114
15.66,313.52,521,1296,1
15.87,1474.11,416,1457,0.318864642
19.9,1080.72,344,2470,0.527140614
4.74,2571.17,269,814,0.806448981
14.23,1122.04,151,1086,0.348337868
20.41,1530.72,955,1639,0.452440981
10.6,478.53,204,1860,0.923589637
32.26,2205.96,985,301,0.29869985
11.06,1904.64,860,365,0.554077184
39.26,1099.44,1224,2422,0.588383947
18.34,1703.27,36,1102,0.239633612
12.71,671.72,1180,427,1
33.63,828.29,1268,1163,0.692101384
30.47,3564.52,1685,1210,0.616406405
25.43,424.05,767,1078,0.990322036
17.69,861.31,921,1151,0.65605978
19.76,606.34,259,2094,0.75458652
40.55,672.36,1816,1268,0.914542586
